ID	gdp_2008	gdp_pps_2008	pop_t_2008	gdppercapita
UKG32	6803000	6610000	203,572	33418,1518086967
UKG33	8449000	8209000	308,484	27388,7786724757
UKG34	12552000	12195000	593,743	21140,4597612098
UKG35	10942000	10632000	492,397	22221,9063073089
UKH11	5932000	5764000	169,04	35092,2858495031
UKH12	20214000	19640000	596,622	33880,7486147008
UKH13	18941000	18403000	842,678	22477,150228201
UKH14	18117000	17603000	707,726	25598,8899658908
UKH21	6133000	5959000	188,832	32478,605321132
UKH22	9791000	9514000	406,862	24064,6705762642
UKH23	38409000	37319000	1076,918	35665,6681381498
UKH31	3622000	3520000	161,962	22363,2703967597
UKH32	3451000	3353000	153,698	22453,1223568296
UKH33	34845000	33857000	1378,697	25273,8636553209
UKI11	174012000	169074000	1104,338	157571,323272404
UKI12	92970000	90332000	1912,396	48614,4083129226
UKI21	32055000	31146000	1619,558	19792,4371958275
UKI22	29709000	28866000	1199,852	24760,5538016355
UKI23	58699000	57033000	1799,142	32626,1073333845
UKJ11	39496000	38375000	835,369	47279,7051362931
UKJ12	10137000	9850000	230,956	43891,4771644815
UKJ13	15572000	15131000	490,016	31778,5541696598
UKJ14	21764000	21146000	633,912	34332,8411514532
UKJ21	7227000	7022000	252,022	28676,0679623208
